BEN_LUNG..ACH.000603.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	LUNG
BFTC905_URINARY_TRACT..ACH.000802.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	URINARY_TRACT
BFTC909_KIDNEY..ACH.000792.	3.6219	0.898	0.2464	0.3552	0.04175	-9	0.1492	0.1757	0.4923	0.00241	0.01861	5.1868	4.0883	0.8653	0.2396	0.4398	0.1644	0.1107	0.6164	-9	0.6489	1.2289	3.1375	0.8398	KIDNEY
BHY_UPPER_AERODIGESTIVE_TRACT..ACH.000548.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	UPPER_AERODIGESTIVE_TRACT
BICR16_UPPER_AERODIGESTIVE_TRACT..ACH.000503.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	UPPER_AERODIGESTIVE_TRACT
BICR18_UPPER_AERODIGESTIVE_TRACT..ACH.000992.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	UPPER_AERODIGESTIVE_TRACT
BICR22_UPPER_AERODIGESTIVE_TRACT..ACH.000794.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	UPPER_AERODIGESTIVE_TRACT
BICR31_UPPER_AERODIGESTIVE_TRACT..ACH.000228.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	UPPER_AERODIGESTIVE_TRACT
BICR56_UPPER_AERODIGESTIVE_TRACT..ACH.000771.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	UPPER_AERODIGESTIVE_TRACT
BICR6_UPPER_AERODIGESTIVE_TRACT..ACH.000415.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	UPPER_AERODIGESTIVE_TRACT
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000245.	2.9811	0.3433	0.05539	0.05747	0.01175	4.7396	0	0.6501	0.07161	0	0.001908	7.1153	4.6797	0	0.2911	0.8768	0	0.005313	0.8231	0	0.4967	1.0673	4.1211	0.468	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000402.	3.5976	0.8428	2.0535	0.113	0.3595	4.8923	0.02918	0.3646	0.3218	0.1648	0.1399	6.5657	5.8478	0.06714	1.1151	0.9159	0.4072	0.6149	1.2478	0.1112	0.6416	1.7212	4.5194	1.9715	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BT12_SOFT_TISSUE..ACH.000160.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	SOFT_TISSUE
BT20_BREAST..ACH.000536.	1.0525	0.5273	1.181	0.01832	1.3084	2.4196	0.2981	0.6681	0.4948	0.3956	0.2088	4.959	4.53	0.4673	0.1474	0.5166	0.4686	0	0.9371	0.4714	0.7985	0.1317	2.1888	0.8072	BREAST
BT474_BREAST..ACH.000927.	3.7846	0.7015	0.8074	0.1287	0.3156	-9	0.7397	3.3811	0.1639	0.5231	0.2468	3.3674	5.1333	0.5865	1.0329	0.2296	0.4139	0.1735	0.6517	0.8083	0.3988	0.3351	0.1767	0.5179	BREAST
BT483_BREAST..ACH.000818.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	BREAST
BT549_BREAST..ACH.000288.	4.799	1.0007	0.8363	0.2601	0.2467	3.4086	0.1532	1.0001	1.6262	0.641	0.2901	5.817	3.7698	0.1503	0	0.533	0.1106	0.4886	2.1067	0.5889	0.7964	1.0845	4.1961	0.9727	BREAST
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000432.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BXPC3_PANCREAS..ACH.000535.	3.4843	0.7268	1.5541	1.9699	0.7307	-9	0.3731	1.2981	2.374	-9	0.8451	5.4667	3.9718	2.8579	-9	0.5536	0.8834	0.8857	-9	0.3544	1.6433	1.1114	2.8842	1.2382	PANCREAS
C2BBE1_LARGE_INTESTINE..ACH.000009.	2.2767	1.3449	2.0615	1.6091	1.128	-9	0.00776	1.4312	0.5307	0.7346	0.4036	3.4819	4.6721	2.6013	0.7911	0.7279	0	0.4087	1.1062	0.2239	1.4705	0.527	1.3702	1.9499	LARGE_INTESTINE
C32_SKIN..ACH.000580.	6.5863	0.8161	0	1.8523	0.286	2.0384	0.04038	0	0.4908	0.1393	0	3.1892	2.4495	3.2117	0.07469	0.261	0.1914	1.2483	1.1826	0.3158	0.6679	0.3908	2.2885	0.4507	SKIN
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000206.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000440.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CADOES1_BONE..ACH.000210.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	BONE
CAKI1_KIDNEY..ACH.000433.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	KIDNEY
CAKI2_KIDNEY..ACH.000234.	1.6136	1.1466	1.4118	1.2769	1.0932	0.5537	0.1271	0.7662	0.3552	0.03836	0.1525	4.8113	3.6886	1.8386	0.1423	0	0	0.4033	1.5667	0.4486	0.729	0.9492	1.1215	1.2657	KIDNEY
CAL120_BREAST..ACH.000212.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	BREAST
CAL12T_LUNG..ACH.000826.	3.5	2.0875	1.8817	1.2348	1.7747	-9	-9	1.4973	1.1054	-9	0.6988	4.9761	4.1571	2.2204	-9	1.1889	1.5377	0.5977	-9	0.6577	2.8724	1.5021	1.9431	2.5282	LUNG
CAL148_BREAST..ACH.000902.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	BREAST
CAL27_UPPER_AERODIGESTIVE_TRACT..ACH.000832.	4.0906	0.9409	1.5346	2.3452	2.316	-9	0	1.8794	0.3061	-9	0	7.1184	4.4571	2.6201	0	0.5558	0.7764	0	1.0867	0.3294	0.5994	0.5781	3.8619	3.4375	UPPER_AERODIGESTIVE_TRACT
CAL29_URINARY_TRACT..ACH.000142.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	URINARY_TRACT
CAL33_UPPER_AERODIGESTIVE_TRACT..ACH.000518.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	UPPER_AERODIGESTIVE_TRACT
CAL51_BREAST..ACH.000856.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	BREAST
CAL54_KIDNEY..ACH.000457.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	KIDNEY
CAL78_BONE..ACH.000516.	4.3291	1.2703	0.6972	0.149	0.6947	2.9043	0.7571	0.4327	0.7028	0.5266	0.0222	5.5828	4.6055	0.1878	0.1654	0.8664	0.3361	0.359	1.7244	0.301	1.4006	1.7102	3.1338	0.305	BONE
CAL851_BREAST..ACH.000857.	3.6877	1.3703	1.7728	1.7048	2.0234	2.8611	0.09294	1.9052	1.9431	0.07419	0.1528	5.3918	4.751	2.3533	0.2048	0.2923	0.04997	0.2709	2.3477	0.04859	0.9655	0.322	2.4477	1.7151	BREAST
CALU1_LUNG..ACH.000511.	3.3698	0.1548	0.2008	1.6146	0.04256	1.8093	0.01624	0.3518	0.06953	0.1917	0.3751	4.1905	3.5222	2.1985	0.04588	0.08662	0.195	0	1.5971	0.05791	0.8478	0.6033	1.9735	0.3933	LUNG
CALU3_LUNG..ACH.000392.	2.0534	0.561	2.3703	2.3689	1.1767	-9	0.4371	2.6066	0.5201	0.4743	0.4135	3.2082	4.5124	1.8058	0.3678	0.4668	0.1975	0.003985	0.8645	0.5152	1.1636	0.4078	3.0826	1.8192	LUNG
CALU6_LUNG..ACH.000264.	3.0328	1.511	1.5736	1.5986	0.4963	-9	-9	0.1923	1.0712	-9	0.106	6.5055	4.0829	3.2483	-9	0.7092	0.4372	1.0378	-9	0.8441	2.1373	0.79	3.0781	0.7187	LUNG
CAMA1_BREAST..ACH.000783.	3.1786	0.4276	0.1606	0.06316	0.003827	3.1566	0.5617	0.146	0.7152	0.4371	0.07149	4.3906	5.0138	0.238	0.2178	0.1829	0.3651	0.07136	0.8191	0.1544	0.1146	0.494	1.0891	0.3685	BREAST
CAOV3_OVARY..ACH.000713.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	OVARY
CAOV4_OVARY..ACH.000103.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	OVARY
CAPAN1_PANCREAS..ACH.000354.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	PANCREAS
CAPAN2_PANCREAS..ACH.000107.	3.905	1.657	1.7225	1.5237	0.399	1.5901	0	0.6047	0.3136	0.7497	0.7347	3.4066	3.4812	3.115	0.3713	1.1095	0.1632	0.3741	0.8736	0	2.4551	0.2457	1.2993	1.9235	PANCREAS
CAS1_CENTRAL_NERVOUS_SYSTEM..ACH.000464.	2.1995	0.6584	0.6927	0.103	0.08698	2.2248	0.01432	0.02975	0.07697	0.207	0.01784	4.0347	3.6763	0.586	0.1407	0.6175	0	0.06697	0.7917	0.06255	1.0183	0.3645	1.728	0.2382	CENTRAL_NERVOUS_SYSTEM
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM..ACH.000329.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	CENTRAL_NERVOUS_SYSTEM
